"SRR975551"	"SRR975552"	"SRR975553"	"SRR975554"	"SRR975555"	"SRR975556"	"SRR975557"	"SRR975558"	"SRR975559"	"SRR975560"	"SRR975561"	"SRR975562"	"SRR975563"	"SRR975564"	"SRR975565"	"SRR975566"	"SRR975567"	"SRR975568"	"SRR975569"	"SRR975570"	"SRR975571"	"SRR975572"	"SRR975573"	"SRR975574"	"SRR975575"	"SRR975576"	"SRR975577"	"SRR975578"	"SRR975579"	"SRR975580"	"SRR975581"	"SRR975582"	"SRR975583"	"SRR975584"	"SRR975585"	"SRR975586"	"SRR975587"	"SRR975588"	"SRR975589"	"SRR975590"	"SRR975591"	"SRR975592"	"SRR975593"	"SRR975594"	"SRR975595"	"SRR975596"	"SRR975597"	"SRR975598"	"SRR975599"	"SRR975600"	"SRR975601"	"SRR975602"	"SRR975603"	"SRR975604"
"SRR975551"	1	0.978857665233179	0.964159390502538	0.976987659088223	0.976535277542939	0.968659954153687	0.925066637250699	0.971174749919901	0.97473622500633	0.970984006718895	0.964928928868086	0.975025638736621	0.966407051955343	0.970079116445052	0.97646721649707	0.974705275460978	0.975470794644198	0.974936222895664	0.967745830984758	0.96606754980515	0.96511855463435	0.965499650709538	0.962663015932688	0.965061945131111	0.964960421022985	0.965262140848095	0.963693375203403	0.960013523402932	0.938568580977888	0.970803098733688	0.963113789832163	0.965552017767558	0.965400764503654	0.964453070054396	0.965377783258322	0.965270307931742	0.965844117217482	0.968976621170695	0.963644557435934	0.967973807772137	0.953720581402668	0.961434472116499	0.966784260709789	0.914419251146195	0.969099934473843	0.96947189592991	0.972043924251353	0.967295727732685	0.962764206712235	0.958745333423447	0.953746793996281	0.970529497160601	0.956906308697228	0.955671985412171
"SRR975552"	0.978857665233179	1	0.965185611988985	0.974454430122629	0.973245534559305	0.9703995752864	0.929353624436106	0.973547906883347	0.975342157832467	0.970508728843895	0.966579322964115	0.97211966350344	0.967862391665491	0.971383263405438	0.972198786225805	0.971031967161964	0.976681622006392	0.972995250709545	0.967418192083528	0.96814315589071	0.966166932229595	0.966419002763699	0.963223753746219	0.964955227271583	0.966250401343238	0.966521320473226	0.963210992855695	0.95949338315802	0.942568157219995	0.96854305020333	0.964487408579877	0.965478297126112	0.966605174080731	0.964271631987749	0.966339046815827	0.967379005281853	0.955612851262932	0.97069801724792	0.963281459043854	0.965030680359542	0.951244668688535	0.958666055629305	0.965393037638877	0.911609234136298	0.967136034543594	0.967800100097722	0.968537453963701	0.96333627712228	0.961469204120265	0.95806165307357	0.950130701168386	0.966851448546184	0.954765156867358	0.954417553794526
"SRR975553"	0.964159390502538	0.965185611988985	1	0.960622915139323	0.967832003317475	0.979244326338458	0.940915074475862	0.976245317545367	0.962386872320799	0.97882917249444	0.981846529517992	0.959364273683531	0.984919867468515	0.961009608843616	0.962094030040303	0.961533438317553	0.979254821835619	0.968671225609491	0.987288471948302	0.985446435479236	0.994764340987371	0.986482405567178	0.988648190747235	0.986285346930857	0.985513524770925	0.985104188575399	0.988550352862123	0.985068197277602	0.961682216283194	0.97988575804042	0.984894395842242	0.987469155559484	0.985788491879934	0.987746331801535	0.986544584161458	0.98059068249888	0.946042044372268	0.987033913578997	0.958600532126167	0.951049275005413	0.957586352710201	0.947110839106833	0.957780480006341	0.919605078750978	0.951923127111326	0.958972262705891	0.954987258249859	0.947954454956189	0.95417680851976	0.958274626426609	0.947320424492861	0.944714511839069	0.951985938185439	0.953575133981861
"SRR975554"	0.976987659088223	0.974454430122629	0.960622915139323	1	0.976235287207327	0.961249273845204	0.929372393083038	0.971892880022385	0.976305177929287	0.968051752182156	0.960955171090183	0.975964902730319	0.959297172726435	0.972527855253444	0.973702034255987	0.974748537233368	0.974283931380915	0.976424473612993	0.958443905186604	0.956884764440519	0.961728537136742	0.959952686437976	0.956554696733918	0.960316749192132	0.958370442023248	0.958057830236743	0.959123381819032	0.954587150516771	0.934864858580117	0.968482123019229	0.957935872722712	0.960307786303243	0.95800574824313	0.959162629208115	0.957996915143131	0.959548457674802	0.952589092335417	0.959418899520511	0.967773038853301	0.976537271401968	0.956345037052516	0.960952021928202	0.969477184050077	0.911948410360988	0.964544139091078	0.974450743169284	0.967519536233754	0.962610678106704	0.962793183447197	0.961054118976328	0.947956114134142	0.967168427679415	0.959180639279634	0.956548764252073
"SRR975555"	0.976535277542939	0.973245534559305	0.967832003317475	0.976235287207327	1	0.971620010691552	0.917949501487619	0.975004327686658	0.972533975000517	0.973303750457659	0.965440227636338	0.974982551219932	0.967419992664199	0.975958945826044	0.973974105530668	0.969739089422007	0.975265475929396	0.981829226957082	0.965351601502596	0.966020637613578	0.968913618468915	0.965723659920299	0.966631944408519	0.968441336993778	0.966452596368832	0.966182747497002	0.965749930451531	0.963241394011046	0.93379664402296	0.975547062564633	0.963650553044991	0.966891445704234	0.966203371739433	0.965742647965861	0.965957958753257	0.96887480121024	0.954178449286097	0.968202368897775	0.968552336047014	0.96136366798415	0.958357827895356	0.962859738571654	0.969943856286276	0.913374148522257	0.969293210023765	0.971370061313037	0.971495389677341	0.96895050017425	0.96565457529293	0.962219415609457	0.950896176215411	0.971131328936124	0.957609317313447	0.959197449987276
"SRR975556"	0.968659954153687	0.9703995752864	0.979244326338458	0.961249273845204	0.971620010691552	1	0.926901512556017	0.977033511427039	0.962974915894046	0.981142251453645	0.979019351989878	0.96392856479102	0.986635119236357	0.965474269549346	0.967624296355254	0.959824225240609	0.978677969214331	0.971277346937244	0.982395932455006	0.983015822383112	0.980238250117467	0.983383962319056	0.979316079353554	0.984816653506529	0.98332064492054	0.98518670078299	0.980770163550331	0.979387126130559	0.950879027752023	0.97955887982499	0.982137938527701	0.982193169256428	0.983913886666845	0.980347137880185	0.983676879792271	0.982684425489378	0.94679007598027	0.98453743480796	0.955140052593567	0.950797192466416	0.94852554499311	0.949830742026507	0.956746730332407	0.913483244994074	0.957469948431869	0.959750169223094	0.960145573972475	0.956176674531168	0.957310473805694	0.955173633157647	0.946718011510037	0.95377155318416	0.94820355734136	0.950285495655195
"SRR975557"	0.925066637250699	0.929353624436106	0.940915074475862	0.929372393083038	0.917949501487619	0.926901512556017	1	0.941863686015582	0.949393620536088	0.937610777387819	0.948398651305209	0.93060151574433	0.933499957223556	0.928133513331659	0.925968543291308	0.941341883963809	0.949305979114234	0.927129017953789	0.934395418761769	0.930678100298112	0.942020015721401	0.935714441777488	0.933489015878147	0.932134728884286	0.934475480242362	0.934099344672558	0.93734961305171	0.930038033438475	0.967028471985648	0.928738752750905	0.939468269229145	0.939080750823347	0.933619963400592	0.937230590614135	0.93380601341079	0.935144088941119	0.921143449314525	0.932582947183838	0.932492886292934	0.92202615953867	0.940893910128282	0.923825710130264	0.93782542619903	0.910439498096057	0.913521935472276	0.940463590682028	0.91846592290828	0.90599211069015	0.921783449468855	0.933518546258784	0.91613563407754	0.907670238229713	0.935666476603597	0.929604237529119
"SRR975558"	0.971174749919901	0.973547906883347	0.976245317545367	0.971892880022385	0.975004327686658	0.977033511427039	0.941863686015582	1	0.975964968752987	0.981483593530672	0.978803622620007	0.972868071981779	0.97971499004964	0.975151207612114	0.971368674220315	0.969152912968561	0.985118770676802	0.977542694121205	0.976482771803721	0.975100436841954	0.977284652153578	0.978286876797847	0.975701611725757	0.977318307722498	0.979077134192636	0.977863170083993	0.976998189941087	0.972597235319173	0.95486889762919	0.979871758470126	0.978143235811299	0.978434672923031	0.978608084127076	0.976954016568109	0.977616011040431	0.97780131490426	0.952435402893484	0.976829697098943	0.971834846094715	0.958282142248328	0.964363082415043	0.957654861769123	0.971811288777806	0.922304124494419	0.960120385357087	0.973329734349043	0.964409066851864	0.95867123691238	0.962878580554302	0.967353164274764	0.952052950778824	0.954292006076236	0.963912528393281	0.963238404446481
"SRR975559"	0.97473622500633	0.975342157832467	0.962386872320799	0.976305177929287	0.972533975000517	0.962974915894046	0.949393620536088	0.975964968752987	1	0.975841578524384	0.970189424963539	0.98087176698063	0.96281522997325	0.972697107092493	0.97235874504086	0.97901092033198	0.980728124299996	0.973760621266358	0.959357991120561	0.95940549499538	0.963473426227057	0.960653933199514	0.959243245331274	0.961328640610156	0.960886551907158	0.96275204821427	0.964078101719078	0.958728585568909	0.954116762777671	0.971335441390851	0.963897308439753	0.964299611661775	0.961820462862485	0.962054857552365	0.962174322229651	0.966944993246103	0.956306809474353	0.961441971364645	0.968677605154826	0.965299876850048	0.963251462578075	0.964024220194465	0.97504062279317	0.918454806530496	0.973153948877975	0.982702838757419	0.969928675655687	0.964056028899169	0.969136266660834	0.963873358527697	0.951540824646614	0.968217490248547	0.965011203561679	0.963168380927892
"SRR975560"	0.970984006718895	0.970508728843895	0.97882917249444	0.968051752182156	0.973303750457659	0.981142251453645	0.937610777387819	0.981483593530672	0.975841578524384	1	0.983256534334915	0.976695608151197	0.981492587923145	0.970122442082292	0.969872266562576	0.967487507108409	0.983852550594562	0.972118410445735	0.976097340380756	0.977543250525665	0.980017720745904	0.977607316362037	0.978008923132144	0.979612471086461	0.978897109714717	0.981613434489587	0.981682167737433	0.982858356348569	0.959847105016941	0.986693922344584	0.980453858696597	0.980428640662563	0.980045227940211	0.978838667733262	0.980562496770227	0.984601613548114	0.95325134116552	0.978233933189429	0.963964196309996	0.956174351206718	0.959225794150929	0.95742693771592	0.967939186763256	0.920466094331031	0.965173811937447	0.978533759903976	0.965612437564608	0.964746828215013	0.968303062786842	0.961280195639154	0.953184637932982	0.958571933856002	0.960529326691297	0.961217385703691
